year,month,day,date,avg_temp,med_temp,avg_dewpt_temp,med_dewpt_temp,avg_rel_hum_pct,med_rel_hum_pct,avg_wind_dir,med_wind_dir,avg_wind_spd,med_wind_spd,avg_visib,med_visib,avg_stn_press,med_stn_press,avg_hmdx,med_hmdx,avg_wind_chill,med_wind_chill
2013,5,13,2013-05-13,13.283333333333333,13.2,9.5375,10.6,78.54166666666667,75,15.625,14,19.833333333333332,19.5,23.233333333333334,24.1,101.50541666666666,101.51,26,26,-5,-5
2013,5,14,2013-05-14,12.579166666666667,13,5.8,6,64.79166666666667,62,14.916666666666666,16,11.125,11,26.262500000000003,24.1,102.13041666666666,102.13499999999999,26,26,-5,-5
2013,5,15,2013-05-15,13.116666666666667,13.45,8.054166666666667,8.1,71.58333333333333,72,20.333333333333332,23.5,10.208333333333334,10,27.137500000000003,24.1,101.76708333333333,101.78,26,26,-5,-5
2013,5,16,2013-05-16,13.366666666666667,13.2,10.483333333333333,10.5,83,84.5,19.291666666666668,18.5,10.083333333333334,8,32.045833333333334,28.150000000000002,101.43916666666667,101.525,26,26,-5,-5
2013,5,17,2013-05-17,12.729166666666666,13.1,10.058333333333334,10.3,83.95833333333333,85.5,11.583333333333334,11,15.666666666666666,16,31.7125,24.1,101.45541666666666,101.46000000000001,26,26,-5,-5
2013,5,18,2013-05-18,13.033333333333333,12.35,9.070833333333333,9.149999999999999,77.625,79,17.208333333333332,16.5,10.5,11,25.8,24.1,102.03458333333333,102.065,26,26,-5,-5
2013,5,19,2013-05-19,13.5875,13.3,8.533333333333333,8.7,71.875,71.5,22.666666666666668,28.5,16.5,14,29.1,32.2,102.76,102.785,26,26,-5,-5
2013,5,20,2013-05-20,13.183333333333334,13.2,8.158333333333333,8.3,72.375,73,18.791666666666668,19,15.5,10,29.1625,32.2,102.07291666666667,102.14,26,26,-5,-5
2013,5,21,2013-05-21,10.258333333333333,10.45,7.3,7.4,82.08333333333333,81,23.75,26.5,10.916666666666666,11,17.220833333333335,19.3,100.93458333333334,100.92,26,26,-5,-5
2013,5,22,2013-05-22,11.454166666666667,11.55,7.2125,7.2,75.83333333333333,77.5,17.708333333333332,16.5,12.333333333333334,11,24.05,24.1,101.12208333333334,101.1,26,26,-5,-5
2013,5,23,2013-05-23,11.491666666666667,11.95,6.7,6.6,73.29166666666667,73.5,15.541666666666666,13,11.458333333333334,13,41.854166666666664,48.3,101.4775,101.48,26,26,-5,-5
2013,5,24,2013-05-24,12.7625,12.7,6.2375,5.95,66.125,72,14.916666666666666,15,12.5,12,42.59583333333333,48.3,101.56125,101.55,26,26,-5,-5
2013,5,25,2013-05-25,12.8625,12.45,7.054166666666666,7.1,68.66666666666667,72,14.166666666666666,12,12.75,13,32.85,32.2,101.59958333333333,101.595,26,26,-5,-5
2013,5,26,2013-05-26,13.5375,13.7,8.616666666666667,8.75,72.33333333333333,72,12.25,14,9.791666666666666,10,29.637500000000003,32.2,101.47458333333333,101.49,26,26,-5,-5
2013,5,27,2013-05-27,13.5,13.4,10.2875,10.25,81.16666666666667,83.5,9.458333333333334,10,17.083333333333332,17,21.387500000000003,19.3,100.80208333333333,100.66,26,26,-5,-5
2013,5,28,2013-05-28,12.320833333333333,12.25,10.116666666666667,10.25,86.45833333333333,87,11.583333333333334,12,12.166666666666666,11,17.029166666666665,16.1,100.96416666666667,100.945,26,26,-5,-5
2013,5,29,2013-05-29,11.983333333333333,11.850000000000001,9.995833333333334,10,87.625,88,20.333333333333332,22,10.208333333333334,8,23.645833333333336,24.1,100.82083333333333,100.755,26,26,-5,-5
2013,5,30,2013-05-30,12.279166666666667,12.55,8.15,8.25,76.625,73.5,13.083333333333334,12.5,13.125,13,24.1,24.1,101.85041666666666,101.945,26,26,-5,-5
2013,5,31,2013-05-31,13.466666666666667,13.25,8.341666666666667,8.350000000000001,72.125,70.5,16.375,13,10.958333333333334,11,31.504166666666666,28.150000000000002,102.5725,102.565,26,26,-5,-5
2013,6,1,2013-06-01,14.0375,13.600000000000001,9.254166666666666,9.1,73.29166666666667,74,22.333333333333332,29.5,14.75,12,29.837500000000002,32.2,102.14083333333333,102.19,26,26,-5,-5
